id,recipe_name,ingredients,nutritional_information,dietary_tags,meal_type,cuisine_type,instructions
81,Beef Stir-Fry,"Beef strips, Broccoli, Bell peppers, Soy sauce, Ginger, Garlic","calories: '500', proteins: '30g', fats: '20g', carbs: '40g'",gluten-free,dinner,Asian,"Sauté beef until browned, Add vegetables and stir-fry, Mix in soy sauce, Serve with rice or noodles"
82,Potato Wedges,"Potatoes, Olive oil, Garlic powder, Paprika, Salt","calories: '300', proteins: '5g', fats: '10g', carbs: '50g'",vegan,side dish,American,"Cut potatoes into wedges, Toss with olive oil and seasonings, Bake at 220°C for 30 minutes until crispy"
83,Garlic Butter Shrimp,"Shrimp, Garlic, Butter, Lemon juice, Parsley","calories: '400', proteins: '25g', fats: '30g', carbs: '5g'",gluten-free,dinner,Mediterranean,"Sauté garlic in butter, Add shrimp and cook until pink, Drizzle with lemon juice and garnish with parsley"
84,Spinach and Feta Pie,"Phyllo dough, Spinach, Feta cheese, Eggs, Onion","calories: '320', proteins: '12g', fats: '20g', carbs: '30g'",vegetarian,dinner,Greek,"Sauté onion until translucent, Add spinach and cook until wilted, Mix with feta and eggs, Layer in phyllo and bake at 180°C for 30 minutes"
85,Zucchini Noodles,"Zucchini, Olive oil, Garlic, Cherry tomatoes, Basil","calories: '150', proteins: '4g', fats: '10g', carbs: '10g'",vegan,lunch,Italian,"Spiralize zucchini, Sauté garlic in olive oil, Add zucchini noodles and cherry tomatoes, Cook for 5 minutes and serve with basil"
86,Vegetable Stir-Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Ginger","calories: '200', proteins: '5g', fats: '5g', carbs: '35g'",vegan,lunch,Asian,"Sauté ginger, Add vegetables, Stir in soy sauce, Cook for 10 minutes and serve over rice"
87,Caprese Salad,"Tomatoes, Mozzarella cheese, Basil, Olive oil, Balsamic vinegar","calories: '300', proteins: '15g', fats: '20g', carbs: '10g'",vegetarian,appetizer,Italian,"Slice tomatoes and mozzarella, Layer with basil, Drizzle with olive oil and balsamic vinegar"
88,Chia Seed Pudding,"Chia seeds, Almond milk, Maple syrup, Berries","calories: '200', proteins: '5g', fats: '10g', carbs: '30g'",vegan,breakfast,American,"Mix chia seeds with almond milk and maple syrup, Let sit overnight, Serve topped with berries"
89,Vegetable Quesadilla,"Tortillas, Bell peppers, Onion, Cheese, Salsa","calories: '350', proteins: '15g', fats: '10g', carbs: '45g'",vegetarian,snack,Mexican,"Sauté vegetables, Place mixture between tortillas with cheese, Cook on a skillet until golden, Cut and serve with salsa"
90,Chicken Tikka Masala,"Chicken, Yogurt, Tomato sauce, Spices, Cream","calories: '600', proteins: '40g', fats: '30g', carbs: '45g'",gluten-free,dinner,Indian,"Marinate chicken in yogurt, Cook with spices and tomato sauce, Stir in cream, Serve with rice or naan"
91,Banana Pancakes,"Banana, Flour, Milk, Eggs, Baking powder","calories: '300', proteins: '10g', fats: '8g', carbs: '50g'",vegetarian,breakfast,American,"Mash bananas, Mix with other ingredients, Cook on a griddle until golden, Serve with syrup"
92,Beetroot Salad,"Beetroot, Feta cheese, Walnuts, Spinach, Olive oil","calories: '250', proteins: '7g', fats: '15g', carbs: '30g'",vegan,lunch,Mediterranean,"Roast beetroot, Mix with spinach and feta, Top with walnuts and drizzle with olive oil"
93,Tom Yum Soup,"Shrimp, Mushrooms, Lemongrass, Chili, Lime","calories: '200', proteins: '20g', fats: '5g', carbs: '10g'",gluten-free,starter,Thai,"Boil water, Add lemongrass and chili, Add shrimp and mushrooms, Cook for 5 minutes and serve with lime"
94,Ratatouille,"Zucchini, Eggplant, Bell peppers, Tomatoes, Herbs","calories: '200', proteins: '5g', fats: '7g', carbs: '30g'",vegan,dinner,French,"Sauté vegetables, Add tomatoes and herbs, Simmer until cooked, Serve hot or cold"
95,Thai Green Curry,"Coconut milk, Green curry paste, Vegetables, Tofu","calories: '400', proteins: '15g', fats: '25g', carbs: '30g'",vegan,dinner,Thai,"Cook vegetables in coconut milk, Stir in curry paste, Add tofu and simmer, Serve with rice"
96,Peach Crumble,"Peaches, Oats, Flour, Brown sugar, Butter","calories: '350', proteins: '5g', fats: '15g', carbs: '55g'",vegetarian,dessert,American,"Slice peaches, Mix with oats, flour, and sugar, Top with crumble and bake for 30 minutes"
97,Vegetable Samosas,"Potatoes, Peas, Spices, Flour, Oil","calories: '300', proteins: '5g', fats: '15g', carbs: '40g'",vegetarian,snack,Indian,"Cook potatoes and peas with spices, Wrap in pastry, Fry until golden brown, Serve with mint chutney"
98,Garlic Parmesan Pasta,"Pasta, Garlic, Olive oil, Parmesan cheese, Parsley","calories: '450', proteins: '15g', fats: '20g', carbs: '55g'",vegetarian,dinner,Italian,"Cook pasta, Sauté garlic in olive oil, Toss with pasta and parmesan, Garnish with parsley"
99,Chocolava Cake,"Flour, Sugar, Eggs, Butter, Dark chocolate","calories: '500', proteins: '6g', fats: '30g', carbs: '50g'",vegetarian,dessert,French,"Melt chocolate and butter, Mix with sugar and eggs, Pour into molds and bake for 10 minutes, Serve warm"
100,Grilled Vegetable Skewers,"Bell peppers, Zucchini, Mushrooms, Olive oil, Spices","calories: '150', proteins: '5g', fats: '7g', carbs: '20g'",vegan,snack,Mediterranean,"Thread vegetables on skewers, Brush with olive oil and spices, Grill for 10 minutes and serve"
101,Barley Salad,"Barley, Cherry tomatoes, Cucumber, Feta cheese, Olive oil","calories: '300', proteins: '10g', fats: '15g', carbs: '40g'",vegetarian,lunch,Mediterranean,"Cook barley, Mix with chopped vegetables and feta, Drizzle with olive oil, Serve chilled"
102,Sesame Chicken,"Chicken, Soy sauce, Honey, Sesame seeds, Garlic","calories: '450', proteins: '30g', fats: '20g', carbs: '30g'",gluten-free,dinner,Asian,"Marinate chicken in soy sauce and honey, Cook in a skillet, Sprinkle with sesame seeds and serve"
103,Curried Lentils,"Lentils, Coconut milk, Curry powder, Spinach","calories: '300', proteins: '15g', fats: '10g', carbs: '40g'",vegan,dinner,Indian,"Cook lentils, Add coconut milk and curry powder, Stir in spinach, Serve with rice"
104,Roasted Brussels Sprouts,"Brussels sprouts, Olive oil, Salt, Pepper","calories: '200', proteins: '5g', fats: '15g', carbs: '15g'",vegan,side dish,American,"Toss Brussels sprouts with olive oil, Roast at 200°C for 25 minutes, Season with salt and pepper"
105,Peanut Butter Cookies,"Peanut butter, Sugar, Egg, Vanilla extract","calories: '300', proteins: '10g', fats: '20g', carbs: '30g'",vegetarian,dessert,American,"Mix ingredients, Roll into balls, Flatten and bake for 10 minutes, Let cool"
106,Caprese Skewers,"Cherry tomatoes, Mozzarella balls, Basil, Balsamic glaze","calories: '150', proteins: '10g', fats: '10g', carbs: '10g'",vegetarian,appetizer,Italian,"Thread tomatoes and mozzarella on skewers, Drizzle with balsamic glaze, Serve chilled"
107,Berry Smoothie,"Berries, Banana, Yogurt, Honey, Milk","calories: '200', proteins: '5g', fats: '5g', carbs: '40g'",vegetarian,breakfast,American,"Blend ingredients until smooth, Serve immediately"
108,Chocolate Mousse,"Dark chocolate, Eggs, Cream, Sugar","calories: '400', proteins: '6g', fats: '30g', carbs: '30g'",vegetarian,dessert,French,"Melt chocolate, Whisk eggs and cream, Fold in chocolate, Chill and serve"
109,Spicy Tuna Sushi,"Sushi rice, Tuna, Spicy mayo, Nori, Avocado","calories: '300', proteins: '20g', fats: '10g', carbs: '40g'",gluten-free,dinner,Japanese,"Cook sushi rice, Mix tuna with spicy mayo, Roll in nori with rice and avocado, Slice and serve"
110,Maple Oatmeal,"Oats, Almond milk, Maple syrup, Berries","calories: '250', proteins: '6g', fats: '5g', carbs: '45g'",vegan,breakfast,American,"Cook oats in almond milk, Stir in maple syrup, Top with berries and serve"
111,Spinach Artichoke Dip,"Spinach, Artichokes, Cream cheese, Parmesan, Garlic","calories: '350', proteins: '10g', fats: '25g', carbs: '30g'",vegetarian,appetizer,American,"Mix ingredients, Bake at 180°C for 30 minutes, Serve with crackers"
112,Roasted Chicken,"Whole chicken, Olive oil, Herbs, Lemon, Garlic","calories: '600', proteins: '50g', fats: '30g', carbs: '10g'",gluten-free,dinner,American,"Rub chicken with olive oil and herbs, Roast at 200°C for 1.5 hours, Let rest before serving"
113,Grilled Cheese Sandwich,"Bread, Cheese, Butter","calories: '300', proteins: '12g', fats: '15g', carbs: '30g'",vegetarian,lunch,American,"Butter bread, Place cheese in between, Grill until golden brown, Serve warm"
114,Cauliflower Rice,"Cauliflower, Olive oil, Garlic, Salt","calories: '50', proteins: '3g', fats: '3g', carbs: '8g'",vegan,side dish,Asian,"Grate cauliflower, Sauté garlic in olive oil, Add cauliflower and cook for 5 minutes, Season and serve"
115,Chocolate Chip Muffins,"Flour, Sugar, Butter, Chocolate chips, Eggs","calories: '250', proteins: '5g', fats: '10g', carbs: '40g'",vegetarian,dessert,American,"Mix dry and wet ingredients, Fold in chocolate chips, Bake at 180°C for 20 minutes"
116,Coconut Rice,"Rice, Coconut milk, Salt","calories: '250', proteins: '4g', fats: '5g', carbs: '50g'",vegan,side dish,Asian,"Cook rice in coconut milk, Season with salt, Serve with curries or grilled meats"
117,Raspberry Sorbet,"Raspberries, Sugar, Lemon juice","calories: '150', proteins: '1g', fats: '0g', carbs: '40g'",vegan,dessert,American,"Blend raspberries with sugar and lemon, Freeze until solid, Scoop and serve"
118,Chicken Caesar Salad,"Lettuce, Chicken, Croutons, Caesar dressing, Parmesan","calories: '400', proteins: '30g', fats: '20g', carbs: '20g'",gluten-free,lunch,American,"Grill chicken, Toss with lettuce, croutons, and dressing, Top with parmesan and serve"
119,Peach Salsa,"Peaches, Onion, Jalapeño, Lime juice, Cilantro","calories: '100', proteins: '2g', fats: '0g', carbs: '20g'",vegan,snack,Mexican,"Chop ingredients, Mix together, Serve with tortilla chips"
120,Spinach and Cheese Stuffed Chicken,"Chicken breast, Spinach, Cream cheese, Parmesan","calories: '400', proteins: '40g', fats: '20g', carbs: '10g'",gluten-free,dinner,American,"Stuff chicken with spinach and cheese, Bake at 180°C for 30 minutes, Serve with veggies"
121,Quiche Lorraine,"Pie crust, Eggs, Bacon, Cream, Cheese","calories: '450', proteins: '20g', fats: '30g', carbs: '25g'",gluten-free,breakfast,French,"Mix ingredients, Pour into crust, Bake at 180°C for 35 minutes, Let cool before serving"
122,Fruit Salad,"Mixed fruit, Honey, Lime juice","calories: '150', proteins: '2g', fats: '0g', carbs: '35g'",vegan,snack,American,"Chop fruit, Toss with honey and lime, Serve chilled"
123,Beef Tacos,"Ground beef, Tortillas, Lettuce, Cheese, Salsa","calories: '400', proteins: '25g', fats: '20g', carbs: '30g'",gluten-free,dinner,Mexican,"Cook beef, Assemble in tortillas with toppings, Serve immediately"
124,Brownie Sundae,"Brownies, Ice cream, Chocolate sauce, Whipped cream","calories: '600', proteins: '8g', fats: '35g', carbs: '60g'",vegetarian,dessert,American,"Bake brownies, Top with ice cream and sauce, Add whipped cream before serving"
125,Vegetable Soup,"Mixed vegetables, Vegetable broth, Herbs","calories: '100', proteins: '4g', fats: '1g', carbs: '20g'",vegan,lunch,American,"Simmer vegetables in broth, Add herbs, Serve hot"
126,Chili,"Ground beef, Beans, Tomatoes, Chili powder","calories: '400', proteins: '25g', fats: '20g', carbs: '30g'",gluten-free,dinner,American,"Brown beef, Add beans, tomatoes, and spices, Simmer for 30 minutes, Serve hot"
127,Apple Crisp,"Apples, Oats, Brown sugar, Butter","calories: '250', proteins: '2g', fats: '10g', carbs: '40g'",vegetarian,dessert,American,"Slice apples, Mix with oats and sugar, Bake at 180°C for 30 minutes, Serve warm"
128,Buffalo Cauliflower Bites,"Cauliflower, Hot sauce, Olive oil, Garlic powder","calories: '150', proteins: '5g', fats: '7g', carbs: '20g'",vegan,appetizer,American,"Toss cauliflower with ingredients, Bake at 200°C for 25 minutes, Serve with ranch dip"
129,Teriyaki Chicken,"Chicken, Teriyaki sauce, Rice, Broccoli","calories: '500', proteins: '40g', fats: '10g', carbs: '80g'",gluten-free,dinner,Japanese,"Cook chicken in teriyaki sauce, Serve over rice with broccoli"
130,Chocolate Covered Strawberries,"Strawberries, Dark chocolate","calories: '200', proteins: '2g', fats: '10g', carbs: '30g'",vegetarian,dessert,American,"Melt chocolate, Dip strawberries, Chill until set, Serve cold"
131,Grilled Vegetable Sandwich,"Bread, Zucchini, Bell peppers, Hummus","calories: '300', proteins: '10g', fats: '5g', carbs: '50g'",vegan,lunch,American,"Grill vegetables, Spread hummus on bread, Assemble sandwich and serve"
132,Banana Bread,"Bananas, Flour, Sugar, Eggs, Butter","calories: '300', proteins: '4g', fats: '10g', carbs: '50g'",vegetarian,breakfast,American,"Mix ingredients, Pour into loaf pan, Bake at 180°C for 60 minutes, Let cool before slicing"
133,Peanut Noodles,"Noodles, Peanut butter, Soy sauce, Veggies","calories: '400', proteins: '15g', fats: '20g', carbs: '45g'",vegan,dinner,Asian,"Cook noodles, Mix peanut butter with soy sauce, Toss with noodles and veggies, Serve warm"
134,Quinoa Salad,"Quinoa, Cucumber, Cherry tomatoes, Feta cheese, Lemon juice, Olive oil","calories: '250', proteins: '10g', fats: '12g', carbs: '30g'",vegetarian,lunch,Mediterranean,"Cook quinoa, Mix with chopped vegetables and feta, Drizzle with lemon and olive oil, Serve chilled"
135,Spinach and Feta Stuffed Chicken,"Chicken breasts, Spinach, Feta cheese, Garlic, Olive oil","calories: '400', proteins: '45g', fats: '20g', carbs: '5g'",gluten-free,dinner,Greek,"Stuff chicken with spinach and feta, Sauté in olive oil until cooked through, Serve with side salad"
136,Veggie Pizza,"Pizza dough, Tomato sauce, Mozzarella cheese, Bell peppers, Olives, Mushrooms","calories: '300', proteins: '12g', fats: '10g', carbs: '40g'",vegetarian,dinner,Italian,"Spread sauce on dough, Top with cheese and veggies, Bake at 220°C for 15 minutes"
137,Chocolate Chip Cookies,"Flour, Sugar, Butter, Eggs, Chocolate chips","calories: '150', proteins: '2g', fats: '8g', carbs: '20g'",vegetarian,dessert,American,"Cream butter and sugar, Add eggs and flour, Stir in chocolate chips, Bake for 10 minutes"
138,Cabbage Rolls,"Cabbage leaves, Ground beef, Rice, Tomato sauce","calories: '350', proteins: '20g', fats: '15g', carbs: '30g'",gluten-free,dinner,Eastern European,"Stuff cabbage leaves with filling, Roll tightly, Bake in tomato sauce at 180°C for 45 minutes"
139,Peach Smoothie,"Peaches, Yogurt, Milk, Honey","calories: '180', proteins: '6g', fats: '4g', carbs: '30g'",vegetarian,breakfast,American,"Blend ingredients until smooth, Serve immediately"
140,Carrot Cake,"Carrots, Flour, Sugar, Eggs, Cinnamon, Cream cheese frosting","calories: '350', proteins: '4g', fats: '15g', carbs: '50g'",vegetarian,dessert,American,"Mix ingredients, Bake at 180°C for 30 minutes, Frost with cream cheese before serving"
141,Chickpea Burgers,"Chickpeas, Breadcrumbs, Onion, Spices","calories: '250', proteins: '12g', fats: '5g', carbs: '40g'",vegan,lunch,American,"Mash chickpeas, Mix with other ingredients, Form patties, Pan-fry until golden"
142,Avocado Brownies,"Avocado, Cocoa powder, Flour, Sugar, Eggs","calories: '300', proteins: '5g', fats: '15g', carbs: '40g'",vegetarian,dessert,American,"Blend ingredients until smooth, Pour into pan, Bake at 180°C for 25 minutes, Let cool before cutting"
143,Egg Salad,"Eggs, Mayonnaise, Mustard, Lettuce","calories: '200', proteins: '12g', fats: '15g', carbs: '5g'",vegetarian,lunch,American,"Hard-boil eggs, Mix with mayonnaise and mustard, Serve on lettuce"
144,Falafel Wraps,"Falafel, Pita bread, Hummus, Lettuce, Tomato, Cucumber","calories: '400', proteins: '15g', fats: '12g', carbs: '60g'",vegan,lunch,Middle Eastern,"Prepare falafel according to package instructions, Spread hummus on pita, Layer with falafel, lettuce, and vegetables, Roll tightly and serve with tahini sauce"
145,Spiced Lentil Stew,"Lentils, Carrots, Celery, Onion, Cumin, Vegetable broth","calories: '300', proteins: '15g', fats: '5g', carbs: '50g'",vegan,dinner,Middle Eastern,"Sauté chopped onions, carrots, and celery in a pot, Add lentils, broth, and spices, Simmer until lentils are tender, Serve hot with crusty bread"
146,Apple Cinnamon Oatmeal,"Oats, Apples, Cinnamon, Milk, Honey","calories: '250', proteins: '6g', fats: '4g', carbs: '50g'",vegetarian,breakfast,American,"Cook oats in milk according to package directions, Stir in diced apples and cinnamon, Sweeten with honey, Serve warm with extra apple slices"
147,Shrimp Tacos,"Shrimp, Corn tortillas, Cabbage, Lime, Cilantro, Avocado","calories: '300', proteins: '20g', fats: '15g', carbs: '30g'",gluten-free,dinner,Mexican,"Season shrimp with lime and spices, Cook in a skillet until pink, Warm tortillas, Fill with shrimp and shredded cabbage, Top with avocado and cilantro, Serve with lime wedges"
148,Cauliflower Rice Stir-Fry,"Cauliflower, Soy sauce, Peas, Carrots, Onion, Eggs","calories: '200', proteins: '8g', fats: '10g', carbs: '20g'",vegan,lunch,Asian,"Pulse cauliflower in a food processor until rice-sized, Sauté chopped onions and carrots, Add cauliflower rice and peas, Stir in soy sauce, Push to side, scramble eggs on the other side, Mix together and serve hot"
149,Peach Crisp,"Peaches, Oats, Flour, Brown sugar, Butter","calories: '300', proteins: '4g', fats: '10g', carbs: '50g'",vegetarian,dessert,American,"Preheat oven to 180°C, Slice peaches and place in a baking dish, In a bowl, mix oats, flour, brown sugar, and butter to form a crumble, Sprinkle over peaches, Bake for 30 minutes until bubbly, Serve warm with ice cream"
150,BBQ Chicken Sandwich,"Chicken breast, BBQ sauce, Burger buns, Coleslaw","calories: '400', proteins: '30g', fats: '15g', carbs: '50g'",gluten-free,lunch,American,"Cook chicken breast and shred, Mix with BBQ sauce, Serve on a bun topped with coleslaw, Enjoy with pickles on the side"
151,Vegetable Fried Rice,"Rice, Carrots, Peas, Soy sauce, Eggs, Green onions","calories: '350', proteins: '12g', fats: '10g', carbs: '50g'",vegan,dinner,Chinese,"Cook rice and set aside, In a pan, scramble eggs and set aside, Stir-fry carrots and peas in oil, Add rice and soy sauce, Mix in scrambled eggs and sliced green onions, Serve hot"
152,Minestrone Soup,"Mixed vegetables, Pasta, Vegetable broth, Beans, Herbs","calories: '200', proteins: '10g', fats: '5g', carbs: '35g'",vegan,lunch,Italian,"Sauté mixed vegetables in a pot, Add vegetable broth and bring to a boil, Stir in pasta and cook until al dente, Add beans and herbs, Simmer for 10 more minutes, Serve warm"
153,Vegetarian Sushi,"Sushi rice, Nori sheets, Avocado, Cucumber, Carrots","calories: '250', proteins: '5g', fats: '10g', carbs: '40g'",vegan,lunch,Japanese,"Cook sushi rice according to package instructions, Slice vegetables into thin strips, Place nori sheet on a bamboo mat, Spread rice on nori, Arrange vegetables, Roll tightly and slice into pieces, Serve with soy sauce"
154,Egg Salad Sandwich,"Eggs, Mayonnaise, Lettuce, Bread, Mustard","calories: '350', proteins: '15g', fats: '20g', carbs: '30g'",vegetarian,lunch,American,"Hard boil eggs and chop, In a bowl, mix chopped eggs with mayonnaise and mustard, Spread on bread, Top with lettuce, Cut in half and serve"
155,Pulled Pork Sandwich,"Pork shoulder, BBQ sauce, Burger buns, Coleslaw","calories: '500', proteins: '35g', fats: '20g', carbs: '45g'",gluten-free,lunch,American,"Slow cook pork shoulder until tender, Shred and mix with BBQ sauce, Serve on burger buns topped with coleslaw, Enjoy with pickles on the side"
156,Peanut Butter Banana Smoothie,"Banana, Peanut butter, Almond milk, Honey, Ice","calories: '350', proteins: '10g', fats: '15g', carbs: '40g'",vegetarian,breakfast,American,"In a blender, combine banana, peanut butter, almond milk, honey, and ice, Blend until smooth, Pour into a glass and enjoy as a nutritious breakfast or snack"
157,Stuffed Zucchini Boats,"Zucchini, Ground turkey, Tomato sauce, Cheese, Italian seasoning","calories: '300', proteins: '25g', fats: '15g', carbs: '10g'",gluten-free,dinner,Italian,"Preheat oven to 180°C, Halve zucchini and scoop out the center, Cook ground turkey with tomato sauce and seasonings, Fill zucchini halves with the mixture, Top with cheese and bake for 20 minutes"
158,Roasted Vegetable Quinoa,"Quinoa, Bell peppers, Zucchini, Olive oil, Balsamic vinegar","calories: '400', proteins: '12g', fats: '15g', carbs: '55g'",vegan,lunch,Mediterranean,"Cook quinoa according to package instructions, Toss chopped vegetables in olive oil and balsamic vinegar, Roast in the oven for 25 minutes, Mix roasted vegetables with quinoa and serve warm"
159,Teriyaki Salmon,"Salmon fillet, Teriyaki sauce, Sesame seeds, Green onions","calories: '400', proteins: '35g', fats: '20g', carbs: '10g'",gluten-free,dinner,Japanese,"Preheat oven to 200°C, Marinate salmon in teriyaki sauce for 30 minutes, Place on a baking sheet and bake for 15 minutes, Garnish with sesame seeds and chopped green onions before serving"
160,Caprese Pasta Salad,"Pasta, Cherry tomatoes, Mozzarella balls, Basil, Olive oil","calories: '400', proteins: '15g', fats: '20g', carbs: '50g'",vegetarian,lunch,Italian,"Cook pasta according to package instructions, Drain and let cool, In a bowl, combine pasta, halved cherry tomatoes, mozzarella balls, and basil, Drizzle with olive oil, Toss gently and serve"
161,Beef and Broccoli,"Beef, Broccoli, Soy sauce, Garlic, Rice","calories: '400', proteins: '30g', fats: '20g', carbs: '30g'",gluten-free,dinner,Chinese,"Slice beef thinly and marinate in soy sauce, In a pan, stir-fry beef until browned, Add broccoli and cook until tender, Serve over cooked rice"
162,Peach Cobbler,"Peaches, Sugar, Flour, Butter, Baking powder","calories: '350', proteins: '4g', fats: '15g', carbs: '55g'",vegetarian,dessert,American,"Preheat oven to 180°C, Slice peaches and toss with sugar, In a bowl, mix flour, sugar, baking powder, and melted butter, Pour batter over peaches in a baking dish, Bake for 30-35 minutes until golden"
163,Banana Oatmeal Pancakes,"Bananas, Oats, Eggs, Milk, Baking powder","calories: '200', proteins: '6g', fats: '4g', carbs: '40g'",vegetarian,breakfast,American,"In a bowl, mash bananas, Mix in oats, eggs, and milk, Add baking powder, Cook on a skillet until golden, Serve with maple syrup"
164,Chocolate Smoothie,"Banana, Cocoa powder, Almond milk, Peanut butter, Honey","calories: '350', proteins: '10g', fats: '15g', carbs: '40g'",vegetarian,breakfast,American,"In a blender, combine banana, cocoa powder, almond milk, peanut butter, and honey, Blend until smooth, Pour into a glass and serve immediately"
165,Vegetarian Lasagna,"Lasagna noodles, Ricotta cheese, Spinach, Marinara sauce, Mozzarella cheese","calories: '400', proteins: '20g', fats: '15g', carbs: '50g'",vegetarian,dinner,Italian,"Preheat oven to 180°C, Cook lasagna noodles according to package instructions, In a bowl, mix ricotta, spinach, and seasonings, Layer noodles, ricotta mixture, marinara, and mozzarella in a baking dish, Repeat layers, Bake for 30-35 minutes until bubbly"
166,Coconut Rice Pudding,"Rice, Coconut milk, Sugar, Cinnamon, Raisins","calories: '300', proteins: '5g', fats: '10g', carbs: '50g'",vegan,dessert,Asian,"In a pot, combine rice, coconut milk, sugar, and cinnamon, Cook over low heat until rice is tender, Stir in raisins, Serve warm or chilled as a delicious dessert"
167,BBQ Chicken Pizza,"Pizza dough, BBQ sauce, Chicken, Red onions, Mozzarella cheese","calories: '500', proteins: '30g', fats: '20g', carbs: '50g'",gluten-free,dinner,American,"Preheat oven to 220°C, Roll out pizza dough and spread BBQ sauce on top, Add cooked chicken, sliced red onions, and mozzarella, Bake for 15-20 minutes until crust is golden, Slice and serve hot"
168,Sweet Potato and Black Bean Tacos,"Sweet potatoes, Black beans, Corn tortillas, Avocado, Salsa","calories: '350', proteins: '10g', fats: '15g', carbs: '50g'",vegan,lunch,Mexican,"Roast cubed sweet potatoes in the oven until tender, Warm black beans on the stove, Fill corn tortillas with sweet potatoes and beans, Top with avocado and salsa, Serve with lime wedges"
169,Chocolate Avocado Mousse,"Avocado, Cocoa powder, Maple syrup, Vanilla extract","calories: '200', proteins: '3g', fats: '15g', carbs: '20g'",vegan,dessert,American,"In a blender, combine ripe avocados, cocoa powder, maple syrup, and vanilla, Blend until smooth and creamy, Chill in the refrigerator for 30 minutes, Serve in bowls with optional toppings like berries"
170,Herbed Chicken Breast,"Chicken breast, Olive oil, Herbs, Garlic, Lemon","calories: '300', proteins: '40g', fats: '15g', carbs: '0g'",gluten-free,dinner,Mediterranean,"Preheat oven to 200°C, Rub chicken breast with olive oil, minced garlic, and herbs, Bake for 25-30 minutes until cooked through, Let rest before slicing, Serve with a side salad"
